INPUT:input	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
Какой из них лучше для лучшего карьерного роста oracle dba или sql dba?	"{""label"":""Aspect""\,""offset"":31\,""length"":16\,""segment"":""карьерного роста""},{""label"":""Object1""\,""offset"":48\,""length"":10\,""segment"":""oracle dba""},{""label"":""Object2""\,""offset"":63\,""length"":7\,""segment"":""sql dba""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef7077dd94a23ca9cd00ef	000016521d--63eca3fe0dee0e72fb99bb34	000016521d--63ef7077dd94a23ca9cd00ef	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:17:59.952
Какова более вероятная причина того, что одна группа подвержена большему риску заболевания, чем другая гены география цвет кожи культура влияние окружающей среды?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":161\,""segment"":""Какова более вероятная причина того\, что одна группа подвержена большему риску заболевания\, чем другая гены география цвет кожи культура влияние окружающей среды""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef7077dd94a23ca9cd00ef	000016521d--63eca3ea0dee0e72fb99ba65	000016521d--63ef7077dd94a23ca9cd00ef	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:17:59.952
При выпечке лучше использовать газовую или электрическую духовку?	"{""label"":""Object1""\,""offset"":31\,""length"":7\,""segment"":""газовую""},{""label"":""Object2""\,""offset"":43\,""length"":13\,""segment"":""электрическую""},{""label"":""CommonObj""\,""offset"":57\,""length"":7\,""segment"":""духовку""}"	"{""label"":""Aspect""\,""offset"":4\,""length"":7\,""segment"":""выпечке""},{""label"":""Object1""\,""offset"":31\,""length"":7\,""segment"":""газовую""},{""label"":""Object2""\,""offset"":43\,""length"":13\,""segment"":""электрическую""},{""label"":""CommonObj""\,""offset"":57\,""length"":7\,""segment"":""духовку""}"			https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef7077dd94a23ca9cd00ef	000016521d--63eca43e0dee0e72fb99bd73	000016521d--63ef7077dd94a23ca9cd00ef	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:17:59.952
Я программист, должен ли я купить macbook или ноутбук с Windows?	"{""label"":""Aspect""\,""offset"":2\,""length"":11\,""segment"":""программист""},{""label"":""Object1""\,""offset"":34\,""length"":7\,""segment"":""macbook""},{""label"":""Object2""\,""offset"":46\,""length"":17\,""segment"":""ноутбук с Windows""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef7077dd94a23ca9cd00ef	000016521d--63eca3f60dee0e72fb99baee	000016521d--63ef7077dd94a23ca9cd00ef	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:17:59.952
"Что правильно ""спасибо всем"" или ""спасибо всем"" или ""спасибо вам всем""?"	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":69\,""segment"":""Что правильно \\""спасибо всем\\"" или \\""спасибо всем\\"" или \\""спасибо вам всем""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef7077dd94a23ca9cd00ef	000016521d--63eca3e90dee0e72fb99ba5f	000016521d--63ef7077dd94a23ca9cd00ef	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:17:59.952
Какой вариант лучше при планировании поездки из Бангалора в Гоа: поехать на машине и начать движение ночью или поехать поездом в Гоа и зарезервировать машину там?	"{""label"":""Aspect""\,""offset"":20\,""length"":43\,""segment"":""при планировании поездки из Бангалора в Гоа""},{""label"":""Object1""\,""offset"":65\,""length"":41\,""segment"":""поехать на машине и начать движение ночью""},{""label"":""Object2""\,""offset"":111\,""length"":50\,""segment"":""поехать поездом в Гоа и зарезервировать машину там""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef7077dd94a23ca9cd00ef	000016521d--63eca40d0dee0e72fb99bbb0	000016521d--63ef7077dd94a23ca9cd00ef	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:17:59.952
Что лучше для алгоритма со сложностью o log n или с амортизацией o log n?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":72\,""segment"":""Что лучше для алгоритма со сложностью o log n или с амортизацией o log n""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef7077dd94a23ca9cd00ef	000016521d--63eca3eb0dee0e72fb99ba6f	000016521d--63ef7077dd94a23ca9cd00ef	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:17:59.952
										
Какая теория была движущей силой внешней политики США?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":53\,""segment"":""Какая теория была движущей силой внешней политики США""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef70edf8650a3bff75e16a	000016521d--63eca3e50dee0e72fb99ba44	000016521d--63ef70edf8650a3bff75e16a	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:19:57.365
Почему Индия не смогла хорошо выступить на Олимпийских играх 2016 года в Рио по сравнению с Олимпийскими играми в Лондоне и Пекине?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":130\,""segment"":""Почему Индия не смогла хорошо выступить на Олимпийских играх 2016 года в Рио по сравнению с Олимпийскими играми в Лондоне и Пекине""}"	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":130\,""segment"":""Почему Индия не смогла хорошо выступить на Олимпийских играх 2016 года в Рио по сравнению с Олимпийскими играми в Лондоне и Пекине""}"			https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef70edf8650a3bff75e16a	000016521d--63eca43a0dee0e72fb99bd55	000016521d--63ef70edf8650a3bff75e16a	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:19:57.365
Что лучше Болливуд или Колливуд?	"{""label"":""Object1""\,""offset"":10\,""length"":8\,""segment"":""Болливуд""},{""label"":""Object2""\,""offset"":23\,""length"":8\,""segment"":""Колливуд""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef70edf8650a3bff75e16a	000016521d--63eca3e30dee0e72fb99ba32	000016521d--63ef70edf8650a3bff75e16a	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:19:57.365
Что более экологично, гибрид или дизель?	"{""label"":""Aspect""\,""offset"":10\,""length"":10\,""segment"":""экологично""},{""label"":""Object1""\,""offset"":22\,""length"":6\,""segment"":""гибрид""},{""label"":""Object2""\,""offset"":33\,""length"":6\,""segment"":""дизель""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef70edf8650a3bff75e16a	000016521d--63eca3dc0dee0e72fb99b9f8	000016521d--63ef70edf8650a3bff75e16a	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:19:57.365
Что лучше haskell и lisp против haskell или lisp?	"{""label"":""Skip (grammar)""\,""offset"":0\,""length"":48\,""segment"":""Что лучше haskell и lisp против haskell или lisp""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef70edf8650a3bff75e16a	000016521d--63eca3e10dee0e72fb99ba21	000016521d--63ef70edf8650a3bff75e16a	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:19:57.365
Как проходят президентские выборы в США по сравнению с президентскими выборами в Мексике?	"{""label"":""Object1""\,""offset"":13\,""length"":26\,""segment"":""президентские выборы в США""},{""label"":""Object2""\,""offset"":55\,""length"":33\,""segment"":""президентскими выборами в Мексике""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef70edf8650a3bff75e16a	000016521d--63eca3f70dee0e72fb99baf5	000016521d--63ef70edf8650a3bff75e16a	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:19:57.365
Какой юридический факультет лучше - БГУ или университет Османии?	"{""label"":""CommonObj""\,""offset"":6\,""length"":21\,""segment"":""юридический факультет""},{""label"":""Object1""\,""offset"":36\,""length"":3\,""segment"":""БГУ""},{""label"":""Object2""\,""offset"":44\,""length"":19\,""segment"":""университет Османии""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef70edf8650a3bff75e16a	000016521d--63eca3f30dee0e72fb99bac9	000016521d--63ef70edf8650a3bff75e16a	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:19:57.365
Какая самая высокая вершина Индии к2 или Каченджанга?	"{""label"":""Skip (grammar)""\,""offset"":0\,""length"":52\,""segment"":""Какая самая высокая вершина Индии к2 или Каченджанга""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef70edf8650a3bff75e16a	000016521d--63eca3fc0dee0e72fb99bb26	000016521d--63ef70edf8650a3bff75e16a	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:19:57.365
Кого вы ожидаете увидеть следующим президентом США - Хиллари Клинтон или Дональда Трампа и почему?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":97\,""segment"":""Кого вы ожидаете увидеть следующим президентом США - Хиллари Клинтон или Дональда Трампа и почему""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef70edf8650a3bff75e16a	000016521d--63eca4380dee0e72fb99bd49	000016521d--63ef70edf8650a3bff75e16a	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:19:57.365
Какая файловая система должна быть на моем жестком диске usb fat32 или ntfs?	"{""label"":""Aspect""\,""offset"":43\,""length"":17\,""segment"":""жестком диске usb""},{""label"":""Object1""\,""offset"":61\,""length"":5\,""segment"":""fat32""},{""label"":""Object2""\,""offset"":71\,""length"":4\,""segment"":""ntfs""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef70edf8650a3bff75e16a	000016521d--63eca40a0dee0e72fb99bb9a	000016521d--63ef70edf8650a3bff75e16a	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T12:19:57.365
										
Что полезнее носить, боксеры или трусы?	"{""label"":""Aspect""\,""offset"":4\,""length"":8\,""segment"":""полезнее""},{""label"":""Object1""\,""offset"":21\,""length"":7\,""segment"":""боксеры""},{""label"":""Object2""\,""offset"":33\,""length"":5\,""segment"":""трусы""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efb96f289a056bcd96e001	000016521d--63eca3dd0dee0e72fb99b9fa	000016521d--63efb96f289a056bcd96e001	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:29:19.342
Каковы плюсы и минусы обучения в политехническом институте по сравнению с младшими колледжами Сингапура?	"{""label"":""Object1""\,""offset"":33\,""length"":25\,""segment"":""политехническом институте""},{""label"":""Object2""\,""offset"":62\,""length"":31\,""segment"":""сравнению с младшими колледжами""},{""label"":""CommonObj""\,""offset"":94\,""length"":9\,""segment"":""Сингапура""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efb96f289a056bcd96e001	000016521d--63eca4160dee0e72fb99bbf8	000016521d--63efb96f289a056bcd96e001	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:29:19.342
Какой процессор лучше i3 4-го поколения или 6-го поколения?	"{""label"":""CommonObj""\,""offset"":22\,""length"":2\,""segment"":""i3""},{""label"":""Object1""\,""offset"":25\,""length"":14\,""segment"":""4-го поколения""},{""label"":""Object2""\,""offset"":44\,""length"":14\,""segment"":""6-го поколения""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efb96f289a056bcd96e001	000016521d--63eca4090dee0e72fb99bb90	000016521d--63efb96f289a056bcd96e001	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:29:19.342
Кто величайший французский классический трагик Расин или Корнель?	"{""label"":""Aspect""\,""offset"":4\,""length"":10\,""segment"":""величайший""},{""label"":""Object1""\,""offset"":47\,""length"":5\,""segment"":""Расин""},{""label"":""Object2""\,""offset"":57\,""length"":7\,""segment"":""Корнель""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efb96f289a056bcd96e001	000016521d--63eca4270dee0e72fb99bcb3	000016521d--63efb96f289a056bcd96e001	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:29:19.342
Как лучше всего использовать песню во время съемок фильма или телешоу?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":69\,""segment"":""Как лучше всего использовать песню во время съемок фильма или телешоу""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efb96f289a056bcd96e001	000016521d--63eca3de0dee0e72fb99ba06	000016521d--63efb96f289a056bcd96e001	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:29:19.342
Какая лампочка лучше, накаливания или люминесцентная?	"{""label"":""CommonObj""\,""offset"":6\,""length"":8\,""segment"":""лампочка""},{""label"":""Object1""\,""offset"":22\,""length"":11\,""segment"":""накаливания""},{""label"":""Object2""\,""offset"":38\,""length"":14\,""segment"":""люминесцентная""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efb96f289a056bcd96e001	000016521d--63eca3db0dee0e72fb99b9ec	000016521d--63efb96f289a056bcd96e001	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:29:19.342
Девушки или парни-вегетарианцы встречаются чаще?	"{""label"":""Object1""\,""offset"":0\,""length"":7\,""segment"":""Девушки""},{""label"":""Object2""\,""offset"":12\,""length"":5\,""segment"":""парни""},{""label"":""CommonObj""\,""offset"":18\,""length"":12\,""segment"":""вегетарианцы""},{""label"":""Aspect""\,""offset"":43\,""length"":4\,""segment"":""чаще""}"	"{""label"":""Object1""\,""offset"":0\,""length"":7\,""segment"":""Девушки""},{""label"":""Object2""\,""offset"":12\,""length"":5\,""segment"":""парни""},{""label"":""CommonObj""\,""offset"":18\,""length"":12\,""segment"":""вегетарианцы""},{""label"":""Aspect""\,""offset"":43\,""length"":4\,""segment"":""чаще""}"			https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efb96f289a056bcd96e001	000016521d--63eca43c0dee0e72fb99bd65	000016521d--63efb96f289a056bcd96e001	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:29:19.342
Какое определение лучше для среднего уровня по сравнению с определением для начинающих?	"{""label"":""Skip (grammar)""\,""offset"":0\,""length"":86\,""segment"":""Какое определение лучше для среднего уровня по сравнению с определением для начинающих""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efb96f289a056bcd96e001	000016521d--63eca4030dee0e72fb99bb5e	000016521d--63efb96f289a056bcd96e001	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:29:19.342
Стоит ли покупать стальные или керамические ножи?	"{""label"":""Object1""\,""offset"":18\,""length"":8\,""segment"":""стальные""},{""label"":""Object2""\,""offset"":31\,""length"":12\,""segment"":""керамические""},{""label"":""CommonObj""\,""offset"":44\,""length"":4\,""segment"":""ножи""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efb96f289a056bcd96e001	000016521d--63eca3d60dee0e72fb99b9c4	000016521d--63efb96f289a056bcd96e001	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:29:19.342
В какой стране лучше всего работать - в США или Кувейте?	"{""label"":""Aspect""\,""offset"":27\,""length"":8\,""segment"":""работать""},{""label"":""Object1""\,""offset"":40\,""length"":3\,""segment"":""США""},{""label"":""Object2""\,""offset"":48\,""length"":7\,""segment"":""Кувейте""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efb96f289a056bcd96e001	000016521d--63eca4150dee0e72fb99bbea	000016521d--63efb96f289a056bcd96e001	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:29:19.342
										
Что лучше redmi note или redmi note 4g почему?	"{""label"":""Object1""\,""offset"":10\,""length"":10\,""segment"":""redmi note""},{""label"":""Object2""\,""offset"":25\,""length"":13\,""segment"":""redmi note 4g""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbd8e76b5361eee6f8c3d	000016521d--63eca4130dee0e72fb99bbdc	000016521d--63efbd8e76b5361eee6f8c3d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:46:54.573
Какой из них лучше samsung galaxy s7 edge или iphone 6s?	"{""label"":""Object1""\,""offset"":19\,""length"":22\,""segment"":""samsung galaxy s7 edge""},{""label"":""Object2""\,""offset"":46\,""length"":9\,""segment"":""iphone 6s""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbd8e76b5361eee6f8c3d	000016521d--63eca40d0dee0e72fb99bbb2	000016521d--63efbd8e76b5361eee6f8c3d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:46:54.573
Что проще сделать лавовую лампу или слизь?	"{""label"":""Aspect""\,""offset"":4\,""length"":13\,""segment"":""проще сделать""},{""label"":""Object1""\,""offset"":18\,""length"":13\,""segment"":""лавовую лампу""},{""label"":""Object2""\,""offset"":36\,""length"":5\,""segment"":""слизь""}"	"{""label"":""Aspect""\,""offset"":4\,""length"":13\,""segment"":""проще сделать""},{""label"":""Object1""\,""offset"":18\,""length"":13\,""segment"":""лавовую лампу""},{""label"":""Object2""\,""offset"":36\,""length"":5\,""segment"":""слизь""}"			https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbd8e76b5361eee6f8c3d	000016521d--63eca43b0dee0e72fb99bd5d	000016521d--63efbd8e76b5361eee6f8c3d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:46:54.573
Творческая франшиза Гарри Поттера, кто более могущественный волшебник, Дамблдор или Волдеморт, почему?	"{""label"":""Aspect""\,""offset"":45\,""length"":14\,""segment"":""могущественный""},{""label"":""Object1""\,""offset"":71\,""length"":8\,""segment"":""Дамблдор""},{""label"":""Object2""\,""offset"":84\,""length"":9\,""segment"":""Волдеморт""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbd8e76b5361eee6f8c3d	000016521d--63eca3f20dee0e72fb99babb	000016521d--63efbd8e76b5361eee6f8c3d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:46:54.573
Какой китайский ime лучше microsoft или Google?	"{""label"":""Object1""\,""offset"":26\,""length"":9\,""segment"":""microsoft""},{""label"":""Object2""\,""offset"":40\,""length"":6\,""segment"":""Google""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbd8e76b5361eee6f8c3d	000016521d--63eca4120dee0e72fb99bbd8	000016521d--63efbd8e76b5361eee6f8c3d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:46:54.573
Что лучше при болях в спине, хиропрактика или физиотерапия?	"{""label"":""CommonObj""\,""offset"":10\,""length"":17\,""segment"":""при болях в спине""},{""label"":""Object1""\,""offset"":29\,""length"":12\,""segment"":""хиропрактика""},{""label"":""Object2""\,""offset"":46\,""length"":12\,""segment"":""физиотерапия""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbd8e76b5361eee6f8c3d	000016521d--63eca3d60dee0e72fb99b9c6	000016521d--63efbd8e76b5361eee6f8c3d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:46:54.573
Каковы плюсы и минусы доверенного хранилища по сравнению с лицензированием сертификатов?	"{""label"":""Object1""\,""offset"":22\,""length"":21\,""segment"":""доверенного хранилища""},{""label"":""Object2""\,""offset"":59\,""length"":28\,""segment"":""лицензированием сертификатов""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbd8e76b5361eee6f8c3d	000016521d--63eca42f0dee0e72fb99bd06	000016521d--63efbd8e76b5361eee6f8c3d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:46:54.573
Что лучше для игр - mac или Windows?	"{""label"":""Object1""\,""offset"":20\,""length"":3\,""segment"":""mac""},{""label"":""Object2""\,""offset"":28\,""length"":7\,""segment"":""Windows""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbd8e76b5361eee6f8c3d	000016521d--63eca41e0dee0e72fb99bc32	000016521d--63efbd8e76b5361eee6f8c3d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:46:54.573
Какой велосипед лучше - royal enfield classic 350 или bullet 350?	"{""label"":""Object1""\,""offset"":24\,""length"":25\,""segment"":""royal enfield classic 350""},{""label"":""Object2""\,""offset"":54\,""length"":10\,""segment"":""bullet 350""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbd8e76b5361eee6f8c3d	000016521d--63eca4390dee0e72fb99bd4d	000016521d--63efbd8e76b5361eee6f8c3d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:46:54.573
Какое упражнение лучше с большим весом и меньшим количеством повторений или с меньшим весом и большим количеством повторений, как эти два упражнения повлияют на рост мышц?	"{""label"":""Object1""\,""offset"":25\,""length"":46\,""segment"":""большим весом и меньшим количеством повторений""},{""label"":""Object2""\,""offset"":78\,""length"":46\,""segment"":""меньшим весом и большим количеством повторений""},{""label"":""Aspect""\,""offset"":161\,""length"":9\,""segment"":""рост мышц""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbd8e76b5361eee6f8c3d	000016521d--63eca4310dee0e72fb99bd18	000016521d--63efbd8e76b5361eee6f8c3d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:46:54.573
										
Что старше - jeopardy или колесо фортуны?	"{""label"":""Aspect""\,""offset"":4\,""length"":6\,""segment"":""старше""},{""label"":""Object1""\,""offset"":13\,""length"":8\,""segment"":""jeopardy""},{""label"":""Object2""\,""offset"":26\,""length"":14\,""segment"":""колесо фортуны""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbdffdd94a23ca9cda360	000016521d--63eca4020dee0e72fb99bb56	000016521d--63efbdffdd94a23ca9cda360	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:48:47.864
Какой телефон лучше - с одной sim-картой или с двумя sim-картами?	"{""label"":""CommonObj""\,""offset"":6\,""length"":7\,""segment"":""телефон""},{""label"":""Object1""\,""offset"":22\,""length"":18\,""segment"":""с одной sim-картой""},{""label"":""Object2""\,""offset"":45\,""length"":19\,""segment"":""с двумя sim-картами""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbdffdd94a23ca9cda360	000016521d--63eca4210dee0e72fb99bc50	000016521d--63efbdffdd94a23ca9cda360	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:48:47.864
Каковы плюсы и минусы мульчи в мешках по сравнению с городской мульчей?	"{""label"":""Object1""\,""offset"":22\,""length"":15\,""segment"":""мульчи в мешках""},{""label"":""Object2""\,""offset"":53\,""length"":17\,""segment"":""городской мульчей""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbdffdd94a23ca9cda360	000016521d--63eca40c0dee0e72fb99bbaa	000016521d--63efbdffdd94a23ca9cda360	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:48:47.864
На что похожа городская жизнь в Индии по сравнению с Непалом?	"{""label"":""CommonObj""\,""offset"":14\,""length"":15\,""segment"":""городская жизнь""},{""label"":""Object1""\,""offset"":32\,""length"":5\,""segment"":""Индии""},{""label"":""Object2""\,""offset"":53\,""length"":7\,""segment"":""Непалом""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbdffdd94a23ca9cda360	000016521d--63eca4170dee0e72fb99bc00	000016521d--63efbdffdd94a23ca9cda360	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:48:47.864
Какие есть хорошие варианты для мобильных телефонов младше 15000?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":64\,""segment"":""Какие есть хорошие варианты для мобильных телефонов младше 15000""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbdffdd94a23ca9cda360	000016521d--63eca4110dee0e72fb99bbce	000016521d--63efbdffdd94a23ca9cda360	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:48:47.864
Какой колледж или университет в Канаде является лучшим для получения степени магистра или доктора философии в области электротехники?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":132\,""segment"":""Какой колледж или университет в Канаде является лучшим для получения степени магистра или доктора философии в области электротехники""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbdffdd94a23ca9cda360	000016521d--63eca40d0dee0e72fb99bbac	000016521d--63efbdffdd94a23ca9cda360	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:48:47.864
В какое время лучше всего тренироваться утром или вечером?	"{""label"":""Aspect""\,""offset"":26\,""length"":13\,""segment"":""тренироваться""},{""label"":""Object1""\,""offset"":40\,""length"":5\,""segment"":""утром""},{""label"":""Object2""\,""offset"":50\,""length"":7\,""segment"":""вечером""}"	"{""label"":""Aspect""\,""offset"":26\,""length"":13\,""segment"":""тренироваться""},{""label"":""Object1""\,""offset"":40\,""length"":5\,""segment"":""утром""},{""label"":""Object2""\,""offset"":50\,""length"":7\,""segment"":""вечером""}"			https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbdffdd94a23ca9cda360	000016521d--63eca4410dee0e72fb99bd8f	000016521d--63efbdffdd94a23ca9cda360	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:48:47.864
Должен ли я купить новый macbook pro 2016 или macbook pro 2015?	"{""label"":""Object1""\,""offset"":25\,""length"":16\,""segment"":""macbook pro 2016""},{""label"":""Object2""\,""offset"":46\,""length"":16\,""segment"":""macbook pro 2015""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbdffdd94a23ca9cda360	000016521d--63eca4130dee0e72fb99bbde	000016521d--63efbdffdd94a23ca9cda360	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:48:47.864
Победят ли демократы или республиканцы на выборах 2016 года?	"{""label"":""Aspect""\,""offset"":0\,""length"":7\,""segment"":""Победят""},{""label"":""Object1""\,""offset"":11\,""length"":9\,""segment"":""демократы""},{""label"":""Object2""\,""offset"":25\,""length"":13\,""segment"":""республиканцы""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbdffdd94a23ca9cda360	000016521d--63eca4210dee0e72fb99bc58	000016521d--63efbdffdd94a23ca9cda360	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:48:47.864
Как вы думаете, воображение лучше, чем знание?	"{""label"":""Object1""\,""offset"":16\,""length"":11\,""segment"":""воображение""},{""label"":""Object2""\,""offset"":39\,""length"":6\,""segment"":""знание""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbdffdd94a23ca9cda360	000016521d--63eca3dd0dee0e72fb99b9fe	000016521d--63efbdffdd94a23ca9cda360	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:48:47.864
										
Какой лучше core i5 4440 или core i5 3470?	"{""label"":""Object1""\,""offset"":12\,""length"":12\,""segment"":""core i5 4440""},{""label"":""Object2""\,""offset"":29\,""length"":12\,""segment"":""core i5 3470""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63efbe75dd94a23ca9cda39d	000016521d--63eca4360dee0e72fb99bd3f	000016521d--63efbe75dd94a23ca9cda39d	8e9beb3e5b8aa496af39f03c3f6f9513	APPROVED	2023-02-17T17:50:45.452
