nb_sent	word	tag
225	больше	O
225	претендует	Aspect
225	на	Aspect
225	трон	Aspect
225	-	O
225	Эйегон	Object1
225	Джон	Object1
225	Сноу	Object1
225	или	O
225	Дейенерис	Object2
225	?	O
226	Онлайн-курсы	Object1
226	лучше	O
226	очных	Object2
226	занятий	Object2
226	?	O
227	Какой	O
227	бренд	O
227	лучше	O
227	tampax	Object1
227	или	O
227	playtex	Object2
227	?	O
228	Какие	O
228	самолеты	CommonObj
228	лучше	O
228	,	O
228	Boeing	Object1
228	или	O
228	Airbus	Object2
228	?	O
229	Что	O
229	лучше	O
229	для	O
229	зачатия	Aspect
229	-	O
229	ЭКО	Object1
229	или	O
229	перевязка	Object2
229	маточных	Object2
229	труб	Object2
229	?	O
232	Что	O
232	сложнее	Aspect
232	-	O
232	перетасовать	Object1
232	отсортированную	Object1
232	колоду	CommonObj
232	или	O
232	отсортировать	Object2
232	перетасованную	Object2
232	?	O
234	Должен	O
234	ли	O
234	я	O
234	выбрать	O
234	бета-версию	O
234	angularjs	Object1
234	или	O
234	angular	Object2
234	2	Object2
234	?	O
235	Считаете	O
235	ли	O
235	вы	O
235	,	O
235	что	O
235	легче	O
235	изучать	Object1
235	новые	Object1
235	предметы	Object1
235	самостоятельно	Object1
235	или	O
235	вы	O
235	считаете	O
235	,	O
235	что	O
235	лучше	O
235	иметь	Object2
235	учителя	Object2
235	?	O
239	Что	O
239	мне	O
239	следует	O
239	выучить	O
239	в	O
239	первую	O
239	очередь	O
239	javascript	Object1
239	или	O
239	html	Object2
239	css	Object2
239	?	O
240	Что	O
240	лучше	O
240	jsp	Object1
240	или	O
240	php	Object2
240	и	O
240	почему	O
240	?	O
242	Должен	O
242	ли	O
242	я	O
242	получить	O
242	степень	Aspect
242	бакалавра	Aspect
242	в	O
242	университете	Object1
242	с	Object1
242	самым	Object1
242	высоким	Object1
242	рейтингом	Object1
242	или	O
242	mcomp	Object2
242	в	Object2
242	университете	Object2
242	с	Object2
242	более	Object2
242	низким	Object2
242	рейтингом	Object2
242	?	O
243	Какой	O
243	университет	O
243	мне	O
243	следует	O
243	выбрать	O
243	для	O
243	обучения	Aspect
243	компьютерной	Aspect
243	инженерии	Aspect
243	uiuc	Object1
243	penn	Object1
243	state	Object1
243	или	O
243	cmu	Object2
243	?	O
244	Trinet	Object1
244	или	O
244	algentis	Object2
244	,	O
244	кто	O
244	является	O
244	лучшим	O
244	поставщиком	Aspect
244	кадровых	Aspect
244	услуг	Aspect
244	на	Aspect
244	аутсорсинге	Aspect
244	?	O
245	Какой	O
245	браузер	CommonObj
245	лучше	O
245	,	O
245	Internet	Object1
245	Explorer	Object1
245	или	O
245	Firefox	Object2
245	?	O
247	Что	O
247	лучше	O
247	,	O
247	Гриффины	Object1
247	или	O
247	Симпсоны	Object2
247	?	O
248	Что	O
248	лучше	O
248	для	O
248	разработки	Aspect
248	на	O
248	Java	Object1
248	eclipse	Object1
248	или	O
248	intellij	Object2
248	idea	Object2
248	?	O
249	Какие	O
249	технологии	CommonObj
249	работают	O
249	лучше	O
249	:	O
249	Apple	Object1
249	или	O
249	Google	Object2
249	?	O
257	Вы	O
257	предпочитаете	O
257	тампоны	Object1
257	или	O
257	прокладки	Object2
257	?	O
258	Первичное	Aspect
258	публичное	Aspect
258	размещение	Aspect
258	акций	Aspect
258	IPO	Aspect
258	каковы	O
258	преимущества	O
258	и	O
258	недостатки	O
258	публичной	Object1
258	компании	Object1
258	по	O
258	сравнению	O
258	с	O
258	частной	Object2
258	?	O
259	Когда	O
259	бинарные	Object1
259	деревья	Object1
259	лучше	O
259	хэш-таблиц	Object2
259	в	O
259	реальных	Aspect
259	приложениях	Aspect
259	?	O
262	Почему	O
262	какое	O
262	место	O
262	лучше	O
262	для	O
262	изучения	Aspect
262	-	O
262	США	Object1
262	или	O
262	Австралия	Object2
262	?	O
263	Что	O
263	лучше	O
263	,	O
263	Disneyland	Object1
263	или	O
263	Disney	Object2
263	World	Object2
263	?	O
264	Что	O
264	лучше	O
264	,	O
264	Linux	Object1
264	или	O
264	Microsoft	Object2
264	?	O
266	Что	O
266	лучше	O
266	linux	Object1
266	или	O
266	Microsoft	Object2
266	?	O
267	Какой	O
267	цвет	O
267	лучше	O
267	-	O
267	синий	Object1
267	или	O
267	красный	Object2
267	?	O
268	Что	O
268	лучше	O
268	snapdragon	Object1
268	625	Object1
268	или	O
268	snapdragon	Object2
268	650	Object2
268	?	O
269	Должен	O
269	ли	O
269	я	O
269	получить	O
269	google	Object1
269	pixel	Object1
269	или	O
269	iphone	Object2
269	7	Object2
269	?	O
271	Сколько	O
271	зарабатывают	Aspect
271	официантки	Object1
271	hooters	Object1
271	по	O
271	сравнению	O
271	с	O
271	обычными	Object2
271	официантами	Object2
271	?	O
272	Что	O
272	лучше	O
272	hp	CommonObj
272	pavilion	CommonObj
272	15	CommonObj
272	au111tx	Object1
272	или	O
272	au006tx	Object2
272	?	O
273	Какая	O
273	книга	O
273	первая	Aspect
273	-	O
273	"	O
273	Кодекс	Object1
273	Давинчи	Object1
273	"	O
273	или	O
273	"	O
273	Ангелы	Object2
273	и	Object2
273	демоны	Object2
273	"	O
273	?	O
275	При	O
275	покупке	O
275	блендера	Aspect
275	какой	O
275	контейнер	CommonObj
275	лучше	O
275	квадратный	Object1
275	или	O
275	круглый	Object2
275	?	O
276	Что	O
276	появилось	O
276	первым	Aspect
276	-	O
276	программное	Object1
276	обеспечение	Object1
276	или	O
276	аппаратное	Object2
276	обеспечение	Object2
276	?	O
278	Что	O
278	мягче	Aspect
278	плюш	Object1
278	или	O
278	флис	Object2
278	?	O
279	Что	O
279	лучше	O
279	,	O
279	поиск	Object1
279	Google	Object1
279	или	O
279	поиск	Object2
279	Yahoo	Object2
279	?	O
283	Что	O
283	полезнее	Aspect
283	,	O
283	запекать	Object1
283	или	O
283	жарить	Object2
283	?	O
285	Собираюсь	O
285	купить	O
285	кроссовки	CommonObj
285	:	O
285	что	O
285	лучше	O
285	Adidas	Object1
285	или	O
285	Nike	Object2
285	?	O
291	Создание	O
291	веб-сайтов	Aspect
291	,	O
291	какой	O
291	подход	O
291	лучше	O
291	-	O
291	mvp	Object1
291	или	O
291	mvc	Object2
291	?	O
294	Что	O
294	такое	O
294	синдром	Object1
294	прилипалы	Object1
294	по	O
294	сравнению	O
294	с	O
294	синдромом	Object2
294	Пьера	Object2
294	Робена	Object2
294	?	O
297	Я	O
297	выучил	O
297	python	O
297	,	O
297	и	O
297	теперь	O
297	я	O
297	хочу	O
297	выучить	O
297	язык	CommonObj
297	ООП	CommonObj
297	,	O
297	должен	O
297	ли	O
297	я	O
297	изучать	O
297	java	Object1
297	или	O
297	c++	O
297	?	O
298	Почему	O
298	китайская	Object1
298	демократическая	Object1
298	система	Object1
298	меритократии	Object1
298	лучше	O
298	,	O
298	чем	O
298	демократия	Object2
298	западного	Object2
298	образца	Object2
298	?	O
300	В	O
300	каком	O
300	месте	O
300	лучше	O
300	всего	O
300	работать	Aspect
300	-	O
300	в	O
300	Мумбаи	Object1
300	или	O
300	Дели	Object2
300	?	O
301	Что	O
301	лучше	O
301	-	O
301	ups	Object1
301	или	O
301	usps	Object2
301	для	O
301	доставки	Aspect
301	посылок	Aspect
301	среднего	Aspect
301	и	Aspect
301	крупного	Aspect
301	размера	Aspect
301	?	O
302	Какой	O
302	четырехколесный	O
302	грузовик	O
302	лучше	O
302	:	O
302	Форд	Object1
302	или	O
302	Тойота	Object2
302	?	O
304	Что	O
304	лучше	O
304	использовать	O
304	,	O
304	кисть	Object1
304	или	O
304	спонж	Object2
304	?	O
305	Какая	O
305	операционная	O
305	система	O
305	имеет	O
305	лучшую	O
305	производительность	Aspect
305	:	O
305	Windows	Object1
305	7	Object1
305	или	O
305	Windows	Object2
305	8	Object2
305	?	O
306	В	O
306	чем	O
306	разница	O
306	между	O
306	желобом	Object1
306	со	Object1
306	стоячей	Object1
306	волной	Object1
306	и	O
306	желобом	Object2
306	Вентури	Object2
306	?	O
307	Почему	O
307	прецизионный	Object1
307	выпрямитель	Object1
307	лучше	O
307	обычного	Object2
307	выпрямителя	Object2
307	?	O
309	Кто	O
309	больше	O
309	выиграл	Aspect
309	эль	Aspect
309	класико	Aspect
309	-	O
309	"	O
309	Реал	Object1
309	Мадрид	Object1
309	"	O
309	или	O
309	"	O
309	Барселона	Object2
309	"	O
309	?	O
312	Что	O
312	лучше	O
312	-	O
312	получить	O
312	автокредит	Aspect
312	через	O
312	автосалон	Object1
312	или	O
312	банк	Object2
312	?	O
313	Для	O
313	человека	O
313	,	O
313	который	O
313	понятия	O
313	не	O
313	имеет	O
313	о	O
313	кодировании	O
313	на	O
313	java	O
313	или	O
313	c	O
313	,	O
313	какую	O
313	технологию	O
313	лучше	O
313	изучить	O
313	hadoop	Object1
313	или	O
313	sap	Object2
313	?	O
314	Какой	O
314	город	O
314	лучше	O
314	,	O
314	Лондон	Object1
314	или	O
314	Париж	Object2
314	?	O
315	Какое	O
315	подключение	CommonObj
315	к	CommonObj
315	Интернету	CommonObj
315	лучше	O
315	-	O
315	проводное	Object1
315	или	O
315	беспроводное	Object2
315	,	O
315	и	O
315	укажите	O
315	причину	O
315	вашего	O
315	выбора	O
315	подключения	O
315	к	O
315	Интернету	O
315	?	O
316	Насколько	O
316	Торонто	Object1
316	отличается	O
316	или	O
316	похож	O
316	на	O
316	Нью-Йорк	Object2
316	?	O
317	Кто	O
317	победит	O
317	:	O
317	Брок	Object1
317	Леснар	Object1
317	или	O
317	гробовщик	Object2
317	?	O
318	Что	O
318	лучше	O
318	,	O
318	пепси	Object1
318	или	O
318	кока-кола	Object2
318	?	O
320	В	O
320	каких	O
320	аспектах	O
320	Калькутта	Object1
320	лучше	O
320	Ахмадабада	Object2
320	?	O
321	Кто	O
321	был	O
321	бы	O
321	лучшим	O
321	президентом	O
321	-	O
321	Хиллари	Object1
321	Клинтон	Object1
321	или	O
321	Дональд	Object2
321	Трамп	Object2
321	?	O
322	Каковы	O
322	плюсы	O
322	и	O
322	минусы	O
322	скейтборда	Object1
322	по	O
322	сравнению	O
322	с	O
322	велосипедом	Object2
322	?	O
324	Какой	O
324	штат	O
324	был	Aspect
324	первым	Aspect
324	-	O
324	Арканзас	Object1
324	или	O
324	Канзас	Object2
324	?	O
325	Каковы	O
325	слабые	Aspect
325	стороны	Aspect
325	Хиллари	Object1
325	Клинтон	Object1
325	по	O
325	сравнению	O
325	с	O
325	Дональдом	Object2
325	Трампом	Object2
325	?	O
326	У	O
326	кого	O
326	больше	Aspect
326	чемпионатов	Aspect
326	НБА	Aspect
326	-	O
326	на	O
326	востоке	Object1
326	или	O
326	западе	Object2
326	?	O
328	Что	O
328	такое	O
328	chromebook	Object1
328	по	O
328	сравнению	O
328	с	O
328	ноутбуком	Object2
328	?	O
